Codigo,Aerodromo,Cidade,Sigla,Ano,Taxa de redução
SBGR,Aeroporto Internacional de São Paulo,Guarulhos,SP,2020,4139351,-47.12
SBBR,Aeroporto Internacional de Brasília,Brasília,DF,2020,1844738,-38.96
SBGL,Aeroporto Internacional do Rio de Janeiro,Rio de Janeiro,RJ,2020,1165101,-74.87
SBRF,Aeroporto Internacional de Recife,Recife,PE,2020,815132,-20.20
SBSV,Aeroporto Internacional de Salvador,Salvador,BA,2020,723408,-34.34
SBGR,Aeroporto Internacional de São Paulo,Guarulhos,SP,2021,2161684,-47.12
SBBR,Aeroporto Internacional de Brasília,Brasília,DF,2021,944161,-38.96
SBGL,Aeroporto Internacional do Rio de Janeiro,Rio de Janeiro,RJ,2021,292791,-74.87
SBRF,Aeroporto Internacional de Recife,Recife,PE,2021,649502,-20.20
SBSV,Aeroporto Internacional de Salvador,Salvador,BA,2021,473822,-34.34
